[2025-12-27T02:13:22.732+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-12-27T02:13:22.777+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2025-12-26T02:00:00+00:00 [queued]>
[2025-12-27T02:13:22.787+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: crawl_etl_itjob.crawl_data scheduled__2025-12-26T02:00:00+00:00 [queued]>
[2025-12-27T02:13:22.788+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-12-27T02:13:22.803+0000] {taskinstance.py:2890} INFO - Executing <Task(BashOperator): crawl_data> on 2025-12-26 02:00:00+00:00
[2025-12-27T02:13:22.809+0000] {standard_task_runner.py:72} INFO - Started process 41 to run task
[2025-12-27T02:13:22.814+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'crawl_etl_itjob', 'crawl_data', 'scheduled__2025-12-26T02:00:00+00:00', '--job-id', '419', '--raw', '--subdir', 'DAGS_FOLDER/Crawl_ETL_ITJob.py', '--cfg-path', '/tmp/tmpgv86hcce']
[2025-12-27T02:13:22.816+0000] {standard_task_runner.py:105} INFO - Job 419: Subtask crawl_data
[2025-12-27T02:13:22.846+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:209: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2025-12-27T02:13:22.952+0000] {task_command.py:467} INFO - Running <TaskInstance: crawl_etl_itjob.crawl_data scheduled__2025-12-26T02:00:00+00:00 [running]> on host a1de7f96d4f1
[2025-12-27T02:13:22.954+0000] {warnings.py:109} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:470: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  if conf.get("database", "sql_alchemy_conn") == "none://":

[2025-12-27T02:13:23.264+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='dinhhoa0102@gmail.com' AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='crawl_etl_itjob' AIRFLOW_CTX_TASK_ID='crawl_data' AIRFLOW_CTX_EXECUTION_DATE='2025-12-26T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-12-26T02:00:00+00:00'
[2025-12-27T02:13:23.265+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-12-27T02:13:23.290+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2025-12-27T02:13:23.292+0000] {subprocess.py:88} INFO - Running command: ['/bin/bash', '-c', 'docker exec spark-submit bash -c "xvfb-run -a python3 /opt/spark/scripts/Crawl_Data.py"']
[2025-12-27T02:13:23.303+0000] {subprocess.py:99} INFO - Output:
[2025-12-27T02:13:25.382+0000] {subprocess.py:106} INFO -  Bắt đầu crawl ITviec...
[2025-12-27T02:13:31.038+0000] {subprocess.py:106} INFO - 
[2025-12-27T02:13:31.040+0000] {subprocess.py:106} INFO -  Đang crawl trang 1...
[2025-12-27T02:13:40.793+0000] {subprocess.py:106} INFO -  Trang 1 - Job 1/20 | UI/UX Designer (Junior/Middle) | 🔗 https://itviec.com/it-jobs/ui-ux-designer-junior-middle-the-one-digi-corp-4208?lab_feature=preview_jd_page
[2025-12-27T02:13:41.001+0000] {subprocess.py:106} INFO -  Trang 1 - Job 2/20 | UI/UX Designer (Junior/Middle) | 🔗 https://itviec.com/it-jobs/ui-ux-designer-junior-middle-the-one-digi-corp-4208?lab_feature=preview_jd_page
[2025-12-27T02:13:41.299+0000] {subprocess.py:106} INFO -  Trang 1 - Job 3/20 | [Viettel Networks] Kỹ sư Giải pháp Cloud | 🔗 https://itviec.com/it-jobs/viettel-networks-ky-su-giai-phap-cloud-viettel-group-5550?lab_feature=preview_jd_page
[2025-12-27T02:13:41.471+0000] {subprocess.py:106} INFO -  Trang 1 - Job 4/20 | Product Designer | 🔗 https://itviec.com/it-jobs/product-designer-virtual-security-lab-cyber-risk-management-services-l-l-c-3928?lab_feature=preview_jd_page
[2025-12-27T02:13:41.698+0000] {subprocess.py:106} INFO -  Trang 1 - Job 5/20 | Data Engineer - UPTO 2000$ - ĐI LÀM SAU TẾT | 🔗 https://itviec.com/it-jobs/data-engineer-upto-2000-di-lam-sau-tet-viettel-post-a-member-of-viettel-group-2703?lab_feature=preview_jd_page
[2025-12-27T02:13:41.919+0000] {subprocess.py:106} INFO -  Trang 1 - Job 6/20 | Senior Full Stack Developer | 🔗 https://itviec.com/it-jobs/senior-full-stack-developer-siraya-technologies-pte-ltd-0117?lab_feature=preview_jd_page
[2025-12-27T02:13:42.193+0000] {subprocess.py:106} INFO -  Trang 1 - Job 7/20 | Data Scientist | 🔗 https://itviec.com/it-jobs/data-scientist-tymex-4455?lab_feature=preview_jd_page
[2025-12-27T02:13:42.389+0000] {subprocess.py:106} INFO -  Trang 1 - Job 8/20 | (Middle/Senior/Expert)- Data Engineer | 🔗 https://itviec.com/it-jobs/middle-senior-expert-data-engineer-techcombank-3504?lab_feature=preview_jd_page
[2025-12-27T02:13:42.596+0000] {subprocess.py:106} INFO -  Trang 1 - Job 9/20 | Backend Developer (Golang/ MySQL/ PostgreSQL/ Nginx) | 🔗 https://itviec.com/it-jobs/backend-developer-golang-unity-sport-jsc-1825?lab_feature=preview_jd_page
[2025-12-27T02:13:42.830+0000] {subprocess.py:106} INFO -  Trang 1 - Job 10/20 | Infrastructure Engineer | 🔗 https://itviec.com/it-jobs/infrastructure-engineer-home-credit-vietnam-4315?lab_feature=preview_jd_page
[2025-12-27T02:13:43.072+0000] {subprocess.py:106} INFO -  Trang 1 - Job 11/20 | Senior Technical Writer (API & Architecture, Database) | 🔗 https://itviec.com/it-jobs/senior-technical-writer-galaxy-holdings-2810?lab_feature=preview_jd_page
[2025-12-27T02:13:43.368+0000] {subprocess.py:106} INFO -  Trang 1 - Job 12/20 | Junior/Senior Java Software Engineer [1 month BONUS] | 🔗 https://itviec.com/it-jobs/junior-senior-java-software-engineer-1-month-bonus-kms-technology-1249?lab_feature=preview_jd_page
[2025-12-27T02:13:43.684+0000] {subprocess.py:106} INFO -  Trang 1 - Job 13/20 | Bridge Engineer cum Project Manager (Japanese N2) | $3k | 🔗 https://itviec.com/it-jobs/bridge-engineer-cum-project-manager-japanese-n2-3k-hybrid-technologies-4145?lab_feature=preview_jd_page
[2025-12-27T02:13:43.966+0000] {subprocess.py:106} INFO -  Trang 1 - Job 14/20 | Screen Design Leader (N2, Photoshop) | 🔗 https://itviec.com/it-jobs/screen-design-leader-n2-photoshop-extreme-viet-nam-5123?lab_feature=preview_jd_page
[2025-12-27T02:13:44.155+0000] {subprocess.py:106} INFO -  Trang 1 - Job 15/20 | Technical Leader (ReactJS, NodeJS) | 🔗 https://itviec.com/it-jobs/technical-leader-reactjs-nodejs-c2c-tech-hub-1638?lab_feature=preview_jd_page
[2025-12-27T02:13:44.450+0000] {subprocess.py:106} INFO -  Trang 1 - Job 16/20 | Graph Data Engineer - Financial Crime | 🔗 https://itviec.com/it-jobs/graph-data-engineer-financial-crime-tymex-0530?lab_feature=preview_jd_page
[2025-12-27T02:13:44.648+0000] {subprocess.py:106} INFO -  Trang 1 - Job 17/20 | QA/ QC/ Tester (Windows, 3D) | 🔗 https://itviec.com/it-jobs/qa-qc-tester-windows-3d-intratech-corp-2613?lab_feature=preview_jd_page
[2025-12-27T02:13:44.863+0000] {subprocess.py:106} INFO -  Trang 1 - Job 18/20 | Senior Agentics AI Engineer | 🔗 https://itviec.com/it-jobs/senior-agentics-ai-engineer-vinsmart-future-3722?lab_feature=preview_jd_page
[2025-12-27T02:13:45.144+0000] {subprocess.py:106} INFO -  Trang 1 - Job 19/20 | [All level] Network Administrator (Cisco/HP/Juniper) | 🔗 https://itviec.com/it-jobs/all-level-network-administrator-cisco-hp-juniper-mb-bank-0117?lab_feature=preview_jd_page
[2025-12-27T02:13:45.337+0000] {subprocess.py:106} INFO -  Trang 1 - Job 20/20 | Kỹ sư phát triển giải pháp Oracle - Database Developer | 🔗 https://itviec.com/it-jobs/ky-su-phat-trien-giai-phap-oracle-database-developer-mb-bank-5453?lab_feature=preview_jd_page
[2025-12-27T02:13:45.338+0000] {subprocess.py:106} INFO - 
[2025-12-27T02:13:45.338+0000] {subprocess.py:106} INFO -  Đang crawl trang 2...
[2025-12-27T02:13:54.028+0000] {subprocess.py:106} INFO -  Trang 2 - Job 1/20 | (Đống Đa, HN) iOS Dev (Swift, Flutter) | 🔗 https://itviec.com/it-jobs/dong-da-hn-ios-dev-swift-flutter-neos-viet-nam-3559?lab_feature=preview_jd_page
[2025-12-27T02:13:54.252+0000] {subprocess.py:106} INFO -  Trang 2 - Job 2/20 | (Đống Đa, HN) iOS Dev (Swift, Flutter) | 🔗 https://itviec.com/it-jobs/dong-da-hn-ios-dev-swift-flutter-neos-viet-nam-3559?lab_feature=preview_jd_page
[2025-12-27T02:13:54.482+0000] {subprocess.py:106} INFO -  Trang 2 - Job 3/20 | Bridge Software Engineer (Early Joining Bonus) | 🔗 https://itviec.com/it-jobs/bridge-software-engineer-early-joining-bonus-vietlink-2641?lab_feature=preview_jd_page
[2025-12-27T02:13:54.737+0000] {subprocess.py:106} INFO -  Trang 2 - Job 4/20 | Bridge Software Engineer (BrSE, PO, Japanese) | 🔗 https://itviec.com/it-jobs/bridge-software-engineer-brse-po-japanese-deha-viet-nam-1425?lab_feature=preview_jd_page
[2025-12-27T02:13:54.960+0000] {subprocess.py:106} INFO -  Trang 2 - Job 5/20 | Bridge Software Engineer (BrSE, PO, Japanese) | 🔗 https://itviec.com/it-jobs/bridge-software-engineer-brse-po-japanese-deha-viet-nam-1425?lab_feature=preview_jd_page
